Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
1,Jeff Adrien\adrieje01,PF,24,GSW,23,196,11.3,0.457,0.0,0.35200000000000004,13.0,20.7,16.8,7.3,1.0,1.9,12.6,16.1,,0.1,0.1,0.2,0.051,,-3.9,-1.2,-5.1,-0.2,West
2,Arron Afflalo\afflaar01,SG,25,DEN,69,2324,13.6,0.62,0.396,0.26,2.3,9.9,6.2,10.9,0.7,1.0,9.2,14.8,,4.8,1.4,6.2,0.128,,2.4,-0.2,2.1,2.4,West
3,Maurice Ager\agerma01,SG,26,MIN,4,29,10.1,0.682,0.364,0.0,0.0,7.9,3.8,6.0,1.7,0.0,26.7,22.0,,0.0,0.0,0.0,-0.015,,-2.7,-3.6,-6.3,0.0,West
4,Alexis Ajinca\ajincal01,C,22,TOT,34,340,12.2,0.507,0.256,0.135,5.9,21.5,13.6,4.8,1.7,4.2,11.3,21.1,,0.0,0.4,0.4,0.052000000000000005,,-3.1,-0.3,-3.4,-0.1,NaN
4,Alexis Ajinca\ajincal01,C,22,DAL,10,75,12.8,0.435,0.21899999999999997,0.094,8.1,18.0,13.3,4.3,2.1,5.1,2.9,21.4,,0.0,0.1,0.1,0.084,,-3.6,1.5,-2.1,0.0,West
4,Alexis Ajinca\ajincal01,C,22,TOR,24,265,12.0,0.53,0.267,0.149,5.2,22.5,13.6,4.9,1.6,4.0,13.6,21.1,,0.0,0.2,0.2,0.042,,-2.9,-0.8,-3.8,-0.1,East
5,Solomon Alabi\alabiso01,C,22,TOR,12,59,2.0,0.18899999999999997,0.0,0.133,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,,-0.2,0.0,-0.2,-0.142,,-8.2,0.0,-8.2,-0.1,East
6,Cole Aldrich\aldrico01,C,22,OKC,18,142,7.0,0.537,0.0,0.267,11.1,17.5,14.4,4.0,1.8,3.6,32.3,7.9,,0.0,0.2,0.2,0.066,,-3.4,2.6,-0.8,0.0,West
7,LaMarcus Aldridge\aldrila01,PF,25,POR,81,3211,21.5,0.5489999999999999,0.016,0.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,,7.6,3.5,11.1,0.166,,1.9,0.5,2.4,3.5,West
8,Malik Allen\allenma01,PF,32,ORL,18,178,3.3,0.361,0.0,0.065,8.1,12.8,10.5,3.3,0.3,1.7,8.6,9.1,,-0.1,0.2,0.2,0.046,,-5.3,1.4,-3.9,-0.1,East
9,Ray Allen*\allenra02,SG,35,BOS,80,2890,16.4,0.615,0.387,0.22399999999999998,2.3,9.0,5.8,12.7,1.4,0.4,9.8,19.8,,5.8,4.2,10.0,0.166,,3.2,0.4,3.6,4.1,East
10,Tony Allen\allento01,SG,29,MEM,72,1494,18.3,0.562,0.047,0.37,5.5,9.9,7.7,10.9,4.5,2.4,13.1,19.9,,2.0,2.7,4.7,0.152,,0.7,2.9,3.6,2.1,West
11,Al-Farouq Aminu\aminual01,SF,20,LAC,81,1452,9.6,0.499,0.35200000000000004,0.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,,-0.8,1.4,0.7,0.022000000000000002,,-3.1,0.1,-3.0,-0.4,West
12,Lou Amundson\amundlo01,PF,28,GSW,46,691,11.5,0.452,0.0,0.475,13.0,17.4,15.2,3.5,1.0,3.6,9.8,15.7,,0.2,0.5,0.6,0.044000000000000004,,-4.0,-0.9,-4.9,-0.5,West
13,Chris Andersen\anderch01,C,32,DEN,45,732,19.0,0.636,0.006999999999999999,0.985,12.2,22.1,17.3,4.0,1.6,6.0,11.3,13.5,,1.9,1.2,3.2,0.207,,0.2,3.1,3.3,1.0,West
14,David Andersen\anderda03,PF,30,TOT,40,373,10.9,0.513,0.19,0.182,6.4,21.0,13.6,5.6,0.7,2.0,14.4,19.1,,-0.1,0.3,0.3,0.032,,-4.0,-1.3,-5.3,-0.3,NaN
14,David Andersen\anderda03,PF,30,TOR,11,150,13.8,0.5589999999999999,0.213,0.149,6.2,21.1,13.4,7.3,1.0,1.5,13.8,17.3,,0.1,0.1,0.2,0.063,,-1.7,-1.6,-3.3,0.0,East
14,David Andersen\anderda03,PF,30,NOH,29,223,8.9,0.484,0.17600000000000002,0.203,6.5,20.9,13.6,4.5,0.5,2.2,14.8,20.2,,-0.2,0.3,0.1,0.012,,-5.4,-1.2,-6.6,-0.3,West
15,James Anderson\anderja01,SF,21,SAS,26,286,8.5,0.529,0.568,0.222,0.8,8.3,4.7,9.2,0.5,1.5,12.8,16.4,,0.1,0.2,0.3,0.051,,-1.9,-1.5,-3.4,-0.1,West
16,Ryan Anderson\anderry01,PF,22,ORL,64,1424,19.0,0.591,0.65,0.223,10.8,18.1,14.5,6.2,1.1,2.1,7.8,20.4,,4.0,2.5,6.4,0.21600000000000003,,4.1,0.2,4.4,2.3,East
