Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
1,Kareem Abdul-Jabbar*\abdulka01,C,39,LAL,78,2441,17.9,0.597,0.003,0.345,7.4,15.8,11.9,11.6,0.9,2.2,14.0,22.1,,4.5,3.0,7.5,0.14800000000000002,,1.2,0.4,1.6,2.2,West
2,Alvan Adams\adamsal01,C,32,PHO,68,1690,14.6,0.546,0.002,0.275,6.2,16.1,11.2,18.4,1.7,1.3,16.7,20.0,,1.2,1.6,2.8,0.079,,-0.4,0.7,0.3,1.0,West
3,Michael Adams\adamsmi01,PG,24,WSB,63,1303,14.3,0.506,0.26,0.316,3.0,7.0,5.0,25.7,3.1,0.3,15.3,16.3,,1.2,1.5,2.7,0.099,,0.6,-0.1,0.4,0.8,East
4,Rafael Addison\addisra01,SF,22,PHO,62,711,11.9,0.5,0.151,0.193,6.6,10.1,8.4,9.1,1.8,0.6,13.1,23.6,,-0.1,0.5,0.4,0.024,,-2.1,-2.4,-4.4,-0.4,West
5,Mark Aguirre\aguirma01,SF,27,DAL,80,2663,22.1,0.56,0.094,0.35,7.5,9.8,8.7,15.7,1.5,0.6,10.6,31.3,,6.8,2.1,8.9,0.16,,4.4,-1.6,2.8,3.2,West
6,Danny Ainge\aingeda01,SG,27,BOS,71,2499,15.2,0.574,0.22699999999999998,0.195,2.4,8.0,5.4,21.2,2.0,0.3,13.3,18.0,,4.1,2.5,6.7,0.128,,2.1,-0.3,1.7,2.4,East
7,Mark Alarie\alarima01,PF,23,DEN,64,1110,12.5,0.516,0.02,0.228,6.5,14.2,10.1,8.9,0.9,1.4,10.3,18.8,,0.7,0.7,1.5,0.064,,-2.1,-1.5,-3.6,-0.4,West
8,Richard Anderson\anderri01,PF,26,HOU,51,312,13.6,0.474,0.115,0.209,8.6,19.1,13.9,15.4,1.1,0.6,11.1,22.4,,0.1,0.4,0.5,0.08199999999999999,,-1.9,-1.0,-2.9,-0.1,West
9,Ron Anderson\anderro01,SF,28,IND,63,721,16.0,0.531,0.017,0.36700000000000005,10.9,12.0,11.4,11.1,2.1,0.3,13.9,22.9,,0.6,0.9,1.5,0.1,,-0.4,-0.7,-1.1,0.2,East
10,John Bagley\baglejo01,PG,26,CLE,72,2182,12.1,0.485,0.141,0.18600000000000003,2.7,9.7,6.2,24.6,2.0,0.2,17.1,17.5,,0.3,2.3,2.6,0.057999999999999996,,-1.4,-0.1,-1.5,0.3,East
11,James Bailey\baileja01,PF,29,NJN,34,542,11.9,0.514,0.0,0.335,10.0,18.4,14.2,5.7,1.0,2.5,16.5,24.4,,-0.2,0.5,0.3,0.031,,-3.4,-1.3,-4.7,-0.4,East
12,Thurl Bailey\baileth01,PF,25,UTA,81,2155,13.9,0.49,0.002,0.228,6.9,14.0,10.4,7.1,0.8,2.3,9.7,23.2,,0.2,2.9,3.1,0.07,,-2.5,0.4,-2.1,0.0,West
13,Greg Ballard\ballagr01,SF,32,GSW,82,1579,11.5,0.479,0.071,0.161,6.8,16.9,11.8,9.3,1.5,0.5,10.4,17.2,,0.5,1.2,1.7,0.052000000000000005,,-1.9,-0.3,-2.2,-0.1,West
14,Gene Banks\banksge01,SF,27,CHI,63,1822,12.6,0.58,0.011000000000000001,0.316,7.0,12.3,9.6,13.0,1.4,0.6,17.7,14.8,,1.9,1.7,3.6,0.095,,-0.3,0.5,0.2,1.0,East
15,Charles Barkley*\barklch01,PF,23,PHI,68,2740,25.1,0.66,0.111,0.602,16.7,24.8,20.8,19.0,2.1,2.2,21.4,23.1,,7.7,4.3,12.0,0.21,,6.4,2.9,9.2,7.7,East
16,John Battle\battljo01,SG,24,ATL,64,804,13.8,0.514,0.032,0.4,2.2,5.9,4.0,22.3,1.8,0.4,13.9,22.0,,0.7,0.8,1.5,0.092,,-0.6,-1.4,-1.9,0.0,East
17,William Bedford\bedfowi01,C,23,PHO,50,979,7.6,0.42200000000000004,0.003,0.24,9.2,18.8,14.1,7.7,0.9,2.2,17.7,19.9,,-1.7,0.9,-0.8,-0.040999999999999995,,-5.7,-0.2,-5.9,-1.0,West
18,Benoit Benjamin\benjabe01,C,22,LAC,72,2230,12.6,0.5,0.003,0.369,6.1,24.1,14.4,8.7,1.3,4.8,18.2,18.1,,-1.3,2.4,1.1,0.024,,-4.3,2.6,-1.7,0.2,West
19,Kent Benson\bensoke01,C,32,UTA,73,895,11.7,0.48200000000000004,0.022000000000000002,0.184,9.2,17.7,13.4,6.0,2.0,1.8,11.6,17.1,,0.1,1.6,1.7,0.08900000000000001,,-3.2,1.7,-1.5,0.1,West
20,Walter Berry\berrywa01,SF-PF,22,TOT,63,1586,16.8,0.561,0.004,0.376,9.1,12.5,10.7,10.4,1.1,1.4,14.6,26.5,,1.4,0.9,2.3,0.071,,0.1,-1.7,-1.5,0.2,NaN
20,Walter Berry\berrywa01,PF,22,POR,7,19,28.9,0.77,0.0,0.125,24.1,17.3,20.6,8.7,4.8,0.0,0.0,17.4,,0.1,0.0,0.2,0.39899999999999997,,11.2,0.5,11.8,0.1,West
20,Walter Berry\berrywa01,SF,22,SAS,56,1567,16.6,0.5589999999999999,0.004,0.379,8.9,12.5,10.6,10.4,1.1,1.5,14.8,26.6,,1.3,0.9,2.2,0.067,,0.0,-1.7,-1.7,0.1,West
21,Joe Binion\biniojo01,PF,25,POR,11,51,12.0,0.486,0.0,1.0,18.0,21.4,19.7,2.3,1.8,2.2,17.2,13.4,,0.0,0.1,0.1,0.092,,-3.1,-0.6,-3.8,0.0,West
22,Larry Bird*\birdla01,SF,30,BOS,74,3005,26.4,0.612,0.15,0.304,5.1,19.2,12.8,28.6,2.2,1.3,12.4,27.5,,10.4,4.8,15.2,0.243,,7.1,2.1,9.2,8.5,East
23,Otis Birdsong\birdsot01,SG,31,NJN,7,127,7.7,0.479,0.024,0.214,2.7,3.5,3.1,19.1,1.1,0.0,16.4,17.5,,0.0,0.0,0.0,-0.001,,-3.3,-3.1,-6.4,-0.1,East
24,Uwe Blab\blabuw01,C,24,DAL,30,160,7.1,0.419,0.0,0.5489999999999999,7.6,16.6,12.2,10.4,1.2,3.2,19.2,19.9,,-0.3,0.2,-0.1,-0.027000000000000003,,-5.7,0.8,-4.9,-0.1,West
25,Rolando Blackman\blackro01,SG,27,DAL,80,2758,18.1,0.569,0.012,0.375,3.8,7.0,5.5,14.2,1.1,0.4,10.6,24.3,,6.5,1.5,8.0,0.14,,2.1,-1.5,0.6,1.8,West
26,Manute Bol\bolma01,C,24,WSB,82,1552,10.9,0.48200000000000004,0.004,0.29,5.6,19.3,12.4,0.9,0.6,10.8,19.0,8.3,,-0.5,2.9,2.4,0.07400000000000001,,-5.9,5.6,-0.2,0.7,East
27,Sam Bowie\bowiesa01,C,25,POR,5,163,11.8,0.505,0.0,0.455,9.8,12.8,11.3,7.5,0.3,3.4,15.9,22.7,,0.0,0.1,0.1,0.034,,-3.2,-1.0,-4.2,-0.1,West
28,Dudley Bradley\bradldu01,SG,29,MIL,68,900,10.3,0.444,0.235,0.272,3.8,8.9,6.3,9.3,5.6,0.5,12.5,12.4,,-0.1,1.8,1.7,0.09,,-1.8,3.8,2.0,0.9,East
29,Adrian Branch\brancad01,SF,23,LAL,32,219,18.8,0.5760000000000001,0.021,0.563,12.6,14.2,13.5,10.0,3.5,0.8,16.7,26.6,,0.4,0.4,0.7,0.158,,0.5,-0.3,0.2,0.1,West
30,Randy Breuer\breuera01,C,26,MIL,76,1467,12.3,0.512,0.0,0.406,9.7,17.0,13.3,4.5,1.8,2.5,14.6,19.1,,0.1,2.3,2.4,0.077,,-2.8,0.7,-2.1,0.0,East
31,Frank Brickowski\brickfr01,PF-C,27,TOT,44,487,10.2,0.568,0.032,0.565,11.6,14.8,13.2,4.3,1.9,0.7,17.1,15.5,,0.5,0.6,1.1,0.10800000000000001,,-1.4,-0.7,-2.1,0.0,NaN
31,Frank Brickowski\brickfr01,PF,27,LAL,37,404,10.2,0.609,0.0,0.628,11.8,14.7,13.4,3.6,1.6,0.6,17.2,14.6,,0.6,0.5,1.1,0.127,,-0.8,-0.9,-1.7,0.0,West
31,Frank Brickowski\brickfr01,C,27,SAS,7,83,10.2,0.431,0.133,0.36700000000000005,10.2,15.2,12.6,7.8,3.4,1.4,16.7,20.2,,-0.1,0.1,0.0,0.013000000000000001,,-4.2,0.3,-3.9,0.0,West
32,Junior Bridgeman\bridgju01,SF,33,MIL,34,418,11.1,0.48700000000000004,0.035,0.11699999999999999,3.7,10.2,6.9,12.2,1.1,0.3,7.7,19.1,,0.2,0.4,0.6,0.069,,-2.2,-1.7,-3.8,-0.2,East
33,Mike Brittain\brittmi01,C,23,SAS,6,29,7.3,0.455,0.0,0.222,7.3,7.9,7.6,9.1,1.6,0.0,16.8,16.4,,0.0,0.0,0.0,-0.017,,-4.8,-2.0,-6.8,0.0,West
