Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Kareem Abdul-Jabbar*\abdulka01,C,37,LAL,79,2630,22.9,0.628,0.001,0.327,7.7,18.2,13.5,13.1,1.1,3.3,12.5,24.3,,7.6,3.6,11.2,0.204,,3.6,1.3,4.9,4.6
2,Alvan Adams\adamsal01,PF,30,PHO,82,2136,19.8,0.578,0,0.309,8.2,18.1,13.3,21.8,2.5,1.3,15.9,23.6,,3.5,3.3,6.8,0.152,,2.3,2.1,4.4,3.5
3,Mark Aguirre\aguirma01,SF,25,DAL,80,2699,21.3,0.563,0.054,0.37,7.8,12.5,10.1,15.3,1.1,0.5,12.2,32.2,,5.3,1.9,7.2,0.128,,3.6,-1.9,1.7,2.5
4,Danny Ainge\aingeda01,SG,25,BOS,75,2564,14.2,0.57,0.071,0.172,3.4,7.9,5.8,19.9,2.2,0.1,14.9,15.9,,3.9,2.8,6.6,0.124,,1.3,0.4,1.7,2.4
5,Chuck Aleksinas\aleksch01,C,25,GSW,74,1114,9.1,0.509,0.003,0.223,8.1,20.1,13.6,4.4,0.6,0.8,16.3,15.6,,0.1,0.4,0.4,0.019,,-3.9,-2,-5.9,-1.1
6,J.J. Anderson\anderjj01,SF,24,UTA,44,457,8.2,0.441,0.013,0.302,6.7,11.7,9.3,6.2,2.9,1.1,15.9,17.5,,-0.6,0.8,0.2,0.025,,-4.7,1.5,-3.2,-0.1
7,Ron Anderson\anderro01,SF,26,CLE,36,520,10.7,0.484,0.01,0.256,8.1,10.2,9.2,9.1,0.8,0.7,13.5,19.4,,0,0.3,0.3,0.032,,-2.4,-1,-3.5,-0.2
8,John Bagley\baglejo01,PG,24,CLE,81,2401,16,0.524,0.038,0.241,2.4,10.7,6.6,39.4,2.5,0.1,21.3,16.3,,2.3,2.3,4.6,0.092,,0.4,0.1,0.5,1.5
9,James Bailey\baileja01,PF,27,NYK,74,1297,7.9,0.485,0.003,0.309,10.6,20.4,15.4,4,1.1,2.4,20.1,15.8,,-0.8,1.4,0.6,0.021,,-4.5,0.4,-4.1,-0.7
10,Thurl Bailey\baileth01,PF,23,UTA,80,2481,14.7,0.533,0.001,0.226,6.5,15.1,10.9,8.2,0.9,2.3,11.8,20.6,,1.6,3.8,5.4,0.104,,-1.2,1.1,0,1.2
11,Greg Ballard\ballagr01,SF,30,WSB,82,2664,14.3,0.513,0.047,0.154,6.1,16.2,11,10.9,1.8,0.7,9.2,18,,2.1,3.9,6,0.109,,-0.5,1.6,1.1,2.1
