Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
106,Ledell Eackles\eacklle01,SG,29,WSB,55,1238,12.5,0.553,0.34,0.313,4.3,9.7,7,10.2,1.2,0.2,11.7,17.6,,1.6,0.8,2.4,0.094,,0.3,-1.5,-1.2,0.2
107,Acie Earl\earlac01,C,25,TOR,42,655,14.1,0.484,0.011,0.413,9.2,14.3,11.7,6.9,1.4,4.3,13.1,25.2,,-0.1,0.4,0.3,0.02,,-4.4,-1.7,-6.1,-0.7
108,Tyus Edney\edneyty01,PG,22,SAC,80,2481,12.7,0.505,0.195,0.341,2.9,6.5,4.7,31.5,1.8,0.1,18.4,18.5,,2,1.2,3.3,0.064,,-0.2,-1.9,-2.2,-0.1
109,Blue Edwards\edwarbl01,SF,30,VAN,82,2773,11.9,0.498,0.256,0.218,4,10.9,7.3,13.8,2.2,1.3,14,20,,-0.7,2.5,1.9,0.032,,-1.6,0.7,-0.9,0.8
110,Doug Edwards\edwardo01,PF,25,VAN,31,519,7.5,0.432,0.044,0.418,7.6,12.2,9.8,11.8,1,2.6,21.2,12,,-0.3,0.4,0.1,0.005,,-5.4,1.4,-4,-0.3
111,James Edwards\edwarja01,C,40,CHI,28,274,3.5,0.403,0,0.236,6.4,10.6,8.5,5.9,0.2,2.2,14.7,22.9,,-0.5,0.4,-0.2,-0.028,,-7.8,-1.7,-9.5,-0.5
112,Kevin Edwards\edwarke01,SG,30,NJN,34,1007,9.8,0.461,0.267,0.215,1.5,6.8,4.1,12.1,2.8,0.5,13.7,21.5,,-0.6,1.1,0.5,0.022,,-2.3,-0.3,-2.6,-0.1
113,Craig Ehlo\ehlocr01,SG,34,ATL,79,1758,13.7,0.526,0.374,0.174,4.2,13.4,8.6,12.8,2.6,0.4,14,18.9,,1.5,1.8,3.3,0.09,,-0.2,-0.3,-0.4,0.7
114,Howard Eisley\eisleho01,PG,23,UTA,65,961,9.3,0.52,0.256,0.318,2.9,7,5,22.3,1.6,0.3,21.8,16.8,,0.2,0.7,1,0.048,,-1.6,-1.3,-2.9,-0.2
115,Mario Elie\eliema01,SF,32,HOU,45,1385,14.6,0.612,0.356,0.322,3.9,8.6,6.3,15.4,1.7,0.6,12.6,15.1,,2.8,1,3.8,0.133,,1.6,-0.5,1.1,1.1
116,Sean Elliott\elliose01,SF,27,SAS,77,2901,16.3,0.585,0.348,0.375,2.8,12.1,7.6,11.8,1.2,0.8,13.1,23.4,,4.1,3.6,7.7,0.128,,2,0,2,2.9
117,Dale Ellis\ellisda01,SF,35,DEN,81,2626,14.7,0.58,0.38,0.187,3.9,10,6.9,9.1,1.1,0.2,8.6,19.3,,4.7,1.5,6.2,0.114,,2.3,-1.8,0.5,1.7
118,LaPhonso Ellis\ellisla01,SF,25,DEN,45,1269,12.1,0.474,0.051,0.343,8.4,20.9,14.7,9.6,1.5,1.9,14.3,20.4,,-0.5,1.5,1,0.039,,-3.2,0.8,-2.3,-0.1
119,LeRon Ellis\ellisle02,C,26,MIA,12,74,1.6,0.264,0,0.273,8.1,4.6,6.3,8.1,1.4,3.2,10.9,17,,-0.2,0.1,-0.1,-0.081,,-8.4,0.9,-7.5,-0.1
120,Pervis Ellison\ellispe01,C,28,BOS,69,1431,13.1,0.527,0,0.397,11.5,24.1,17.7,6.3,1.4,4.8,19.5,12.9,,0.6,1.9,2.6,0.086,,-3,3.1,0.1,0.8
121,Vincenzo Esposito\esposvi01,PG,27,TOR,30,282,5.2,0.495,0.56,0.39,1.7,5.1,3.4,12.5,1.3,0,25,24.4,,-0.6,0,-0.6,-0.106,,-5,-5.5,-10.5,-0.6
122,Patrick Ewing*\ewingpa01,C,33,NYK,76,2783,20.9,0.516,0.019,0.317,6.9,26.9,17.1,11.2,1.3,5.1,11.8,31.5,,0.6,6.1,6.8,0.116,,-2.9,2.4,-0.4,1.1
123,Duane Ferrell\ferredu01,SF,30,IND,54,591,10.9,0.529,0.048,0.343,7,12.5,9.8,8.2,2.1,0.4,15.1,17.5,,0.3,0.6,1,0.077,,-1.8,0,-1.8,0
124,Danny Ferry\ferryda01,PF,29,CLE,82,2680,14.2,0.557,0.395,0.146,3.5,12,7.7,13.2,1.2,1.2,11.1,20.7,,3.2,2.3,5.5,0.098,,0.9,-0.9,-0.1,1.3
125,Michael Finley\finlemi01,SF,22,PHO,82,3212,14,0.551,0.191,0.331,5.1,8.3,6.7,13.9,1.4,0.7,10.6,17.3,,5,1.3,6.3,0.095,,1.6,-0.5,1.1,2.5
126,Matt Fish\fishma01,C,26,TOT,18,134,16.5,0.586,0,0.528,8.7,9.5,9.1,10.2,1.2,3.8,6.3,15.9,,0.3,0.1,0.4,0.154,,0.1,0.2,0.3,0.1
126,Matt Fish\fishma01,C,26,NYK,2,17,27.4,0.575,0,0.1,21.5,0,10.4,14.6,0,4.5,0,28.6,,0.1,0,0.1,0.22,,6.9,-2.4,4.6,0
126,Matt Fish\fishma01,C,26,DEN,16,117,14.9,0.59,0,0.692,6.9,10.9,8.9,9.5,1.3,3.7,8.1,14.1,,0.2,0.1,0.4,0.144,,-0.9,0.6,-0.3,0
127,Vern Fleming\flemive01,PG,33,NJN,77,1747,11.3,0.49,0.053,0.338,3,7.8,5.4,24.6,1.2,0.2,16.9,18.1,,0.5,1.1,1.6,0.044,,-2.1,-1.5,-3.6,-0.7
128,Sherell Ford\fordsh01,SF,23,SEA,28,139,16.4,0.474,0.313,0.425,10.7,9.7,10.2,6.5,2.9,0.6,5.9,32.4,,0.1,0.2,0.4,0.124,,-1,-3.9,-4.9,-0.1
129,Greg Foster\fostegr01,C,27,UTA,73,803,9,0.501,0.033,0.295,8.3,18.6,13.6,4.7,0.5,2.3,17.4,19,,-0.3,0.9,0.6,0.035,,-4.6,-0.7,-5.2,-0.7
130,Rick Fox\foxri01,SF,26,BOS,81,2588,16.1,0.547,0.293,0.274,6.7,13,9.7,22.6,2.2,1.1,17.2,20.9,,3,2.2,5.1,0.095,,2.1,0.8,2.8,3.1
131,Kevin Gamble\gamblke01,SF,30,TOT,65,1325,8.4,0.482,0.301,0.127,1.9,7.9,5,12.1,1.4,0.5,9.7,15.1,,0.5,1.3,1.8,0.064,,-2.2,-0.4,-2.5,-0.2
131,Kevin Gamble\gamblke01,SF,30,MIA,44,1033,8.8,0.486,0.306,0.128,1.6,7.9,4.8,12.8,1.6,0.4,9.3,15.2,,0.5,1.2,1.7,0.079,,-1.9,0.1,-1.8,0.1
131,Kevin Gamble\gamblke01,SF,30,SAC,21,292,6.9,0.469,0.28,0.122,2.8,8,5.4,9.8,0.7,0.8,11.3,14.7,,0,0.1,0.1,0.011,,-3.2,-1.9,-5.1,-0.2
132,Kevin Garnett\garneke01,SF,19,MIN,80,2293,15.8,0.522,0.038,0.203,9.1,17,13.1,10.6,1.9,4.4,12.1,17.6,,1.8,2.6,4.4,0.092,,-0.7,2.4,1.7,2.1
133,Chris Gatling\gatlich01,PF,28,TOT,71,1427,19.9,0.601,0.002,0.365,10.5,23.2,16.9,5.8,1.3,2.1,12.6,23.4,,2.7,2,4.6,0.156,,-0.3,-0.9,-1.2,0.3
133,Chris Gatling\gatlich01,PF,28,GSW,47,862,17,0.582,0.003,0.429,10.3,22.1,16.2,5.2,1.1,2.4,14.1,21.5,,1.2,0.9,2.1,0.114,,-1.4,-1.3,-2.7,-0.1
133,Chris Gatling\gatlich01,PF,28,MIA,24,565,24.4,0.625,0,0.29,10.8,25,18,6.6,1.6,1.5,10.7,26.3,,1.5,1.1,2.6,0.219,,1.3,-0.4,1,0.4
134,Kenny Gattison\gattike01,PF,31,VAN,25,570,10.7,0.51,0,0.411,7,16.8,11.7,4.6,0.9,1.5,15.1,21.2,,-0.3,0.5,0.1,0.012,,-5.2,-1.4,-6.6,-0.7
135,Matt Geiger\geigema01,C,26,CHH,77,2349,14.2,0.573,0.012,0.308,10.2,23.6,16.8,4.1,1,2,15.3,17.2,,2.4,1.9,4.3,0.088,,-1.6,-0.3,-1.9,0.1
136,Kendall Gill\gillke01,SG,27,TOT,47,1683,15.5,0.545,0.151,0.336,5,11.6,8.2,24.6,2,1.1,17.9,19.5,,2.1,1.1,3.2,0.091,,0.9,0.3,1.2,1.4
136,Kendall Gill\gillke01,SG,27,CHH,36,1265,15.3,0.548,0.145,0.315,5.3,13,9.1,27.8,1.7,1.3,20.6,19.1,,1.3,0.7,2,0.077,,0.8,0.4,1.1,1
136,Kendall Gill\gillke01,SG,27,NJN,11,418,16.2,0.539,0.164,0.388,4.1,7.3,5.7,14.9,2.8,0.4,10.6,20.8,,0.7,0.4,1.2,0.133,,1.4,0.1,1.5,0.4
137,Armen Gilliam\gilliar01,SF,31,NJN,78,2856,17.6,0.522,0.001,0.288,9.1,18.6,13.7,9.4,1.3,1.4,11.4,23.7,,3.3,3.4,6.7,0.113,,0,0.4,0.4,1.7
138,Gerald Glass\glassge01,SF,28,TOT,15,71,10.4,0.389,0.182,0.03,9.2,3.3,6.4,10.3,2.2,1.1,0,20.7,,0,0.1,0.1,0.047,,-1.6,-2.6,-4.2,0
138,Gerald Glass\glassge01,SF,28,NJN,10,56,11,0.375,0.179,0,9.6,2,5.9,13.1,1.9,1.4,0,21.8,,0,0,0,0.037,,-1.3,-2.2,-3.6,0
138,Gerald Glass\glassge01,SF,28,CHH,5,15,8.4,0.46,0.2,0.2,7.9,8.3,8.1,0,3.5,0,0,16.4,,0,0,0,0.087,,-2.7,-3.9,-6.6,0
139,Anthony Goldwire\goldwan01,PG,24,CHH,42,621,10.4,0.536,0.439,0.317,1.5,7,4.2,27.4,1.4,0,22.6,20.3,,0.2,0.1,0.3,0.021,,-1.3,-3.9,-5.2,-0.5
140,Greg Graham\grahagr01,SG,25,TOT,53,613,11.1,0.538,0.425,0.352,3,7.5,5.2,14.3,2.1,0.1,17.1,19.3,,0.3,0.4,0.8,0.06,,-1,-1.9,-2.9,-0.1
140,Greg Graham\grahagr01,SG,25,PHI,8,128,13.1,0.709,0.438,0.531,4.4,9.3,6.8,14.9,2,0,30.1,19.7,,0.1,0,0.1,0.048,,-0.6,-2.5,-3.1,0
140,Greg Graham\grahagr01,SG,25,NJN,45,485,10.6,0.502,0.422,0.317,2.7,7,4.8,14.1,2.2,0.2,13.7,19.1,,0.2,0.4,0.6,0.063,,-1.2,-1.7,-2.9,-0.1
141,Ron Grandison\grandro01,PF,31,TOT,28,311,8.5,0.471,0.241,0.431,7.7,13,10.4,6.2,2,0.5,14.8,11.9,,0,0.4,0.5,0.076,,-3.1,1.1,-2.1,0
141,Ron Grandison\grandro01,PF,31,MIA,18,235,6.2,0.454,0.333,0.487,7.1,10.7,8.9,6.3,1.8,0.3,18.8,11.3,,-0.1,0.3,0.2,0.049,,-3.5,1.1,-2.4,0
141,Ron Grandison\grandro01,PF,31,ATL,4,19,13.2,0.5,0.25,0,6,32.4,18.7,8.1,0,0,0,9.5,,0,0,0,0.125,,-3.4,-1.7,-5,0
141,Ron Grandison\grandro01,PF,31,NYK,6,57,16.6,0.51,0,0.4,10.7,16.2,13.5,5.5,3.7,1.3,5.4,15.2,,0.1,0.1,0.2,0.17,,-1.6,1.9,0.3,0
142,Brian Grant\grantbr01,PF,23,SAC,78,2398,15.8,0.56,0.02,0.425,8.4,17.9,13.2,9.2,0.9,3.2,15.6,21.7,,2.4,2.3,4.7,0.094,,-0.9,0.8,-0.2,1.1
143,Gary Grant\grantga01,PG,30,NYK,47,596,13.5,0.562,0.133,0.32,2.5,7.7,5.2,19,3.5,0.4,17.9,19.7,,0.4,1,1.4,0.11,,-1.6,0.5,-1.1,0.1
144,Greg Grant\grantgr01,PG,29,TOT,31,527,7.7,0.408,0.343,0.061,1.5,6,3.7,27.4,2.2,0.3,22.8,11.2,,-0.2,0.2,0,0.003,,-4,-2.4,-6.5,-0.6
144,Greg Grant\grantgr01,PG,29,PHI,11,280,9.5,0.444,0.375,0.125,1.2,7.6,4.3,33.3,2.2,0.5,22.9,10.5,,0.1,0.1,0.1,0.026,,-3.2,-2.9,-6.1,-0.3
144,Greg Grant\grantgr01,PG,29,WSB,10,138,7.5,0.429,0.357,0,0.9,4.2,2.6,22.9,3,0,26.3,12.3,,-0.1,0.1,0,0.002,,-4.1,-1.5,-5.7,-0.1
144,Greg Grant\grantgr01,PG,29,DEN,10,109,3.1,0.304,0.261,0,3.2,4.3,3.7,18.3,1,0,17.9,11.5,,-0.2,0,-0.1,-0.053,,-6,-2.4,-8.5,-0.2
145,Harvey Grant\grantha01,PF,30,POR,76,2394,10.4,0.487,0.099,0.162,5.6,11.6,8.6,7.3,1.3,1.3,10.1,14.8,,0.9,3.1,4,0.081,,-2,1.7,-0.3,1
146,Horace Grant\grantho01,PF,30,ORL,63,2286,17.9,0.551,0.009,0.306,9.3,20,14.8,11.4,1.4,2.4,7.7,16.5,,5,3.1,8,0.169,,0.9,2,2.8,2.8
147,A.C. Green\greenac01,SF,32,PHO,82,2113,12.9,0.558,0.117,0.534,9.2,20.9,15.2,4.9,1.1,0.8,12.6,13.2,,2.7,1.7,4.4,0.1,,-1.1,-0.3,-1.4,0.3
148,Tom Gugliotta\guglito01,PF,26,MIN,78,2835,16.9,0.54,0.086,0.373,7.4,21.7,14.6,14.4,2.5,2.6,16.7,21.9,,1.5,3.7,5.3,0.089,,-0.2,2.4,2.2,3
149,Jack Haley\haleyja01,C,32,CHI,1,7,1.8,0.363,0,0.333,16.7,16.6,16.6,0,0,0,12.7,49.6,,0,0,0,-0.228,,-17.1,-13.9,-31.1,-0.1
150,Thomas Hamilton\hamilth01,C,20,BOS,11,70,4.3,0.321,0,0.581,15.6,19.7,17.6,2.1,0,9,18.8,29.5,,-0.4,0.1,-0.3,-0.213,,-13.5,-1.4,-14.9,-0.2
151,Geert Hammink\hammige01,C,26,TOT,6,17,10.5,0.565,0,1.75,14,13.5,13.7,0,0,0,22,23.8,,0,0,0,0.017,,-6.5,-8.2,-14.7,-0.1
151,Geert Hammink\hammige01,C,26,ORL,3,7,9.1,0.532,0,2,34.1,16.3,25,0,0,0,34.7,37.2,,0,0,0,-0.15,,-10.7,-11.4,-22.1,0
151,Geert Hammink\hammige01,C,26,GSW,3,10,11.4,0.602,0,1.5,0,11.6,5.8,0,0,0,0,14.5,,0,0,0,0.134,,-3.6,-5.9,-9.5,0
152,Tom Hammonds\hammoto01,PF,28,DEN,71,1045,11.2,0.537,0,0.429,9.4,15.3,12.3,3.5,1.1,0.9,13.1,15.7,,0.9,0.9,1.8,0.081,,-3,-1.4,-4.4,-0.6
153,Darrin Hancock\hancoda01,SF,24,CHH,63,838,10,0.553,0.014,0.341,5.7,8.6,7.1,8.7,1.8,0.4,18.5,16.3,,0.2,0.3,0.5,0.028,,-2.5,-1.2,-3.7,-0.3
154,Anfernee Hardaway\hardaan01,PG,24,ORL,82,3015,24.6,0.605,0.233,0.477,5.1,8.5,6.8,32.2,2.9,1,13.5,25.5,,11,3.4,14.4,0.229,,6.4,0,6.4,6.4
155,Tim Hardaway\hardati01,PG,29,TOT,80,2534,18.7,0.54,0.382,0.307,1.6,8.8,5.2,42.8,2.7,0.5,17.3,23.8,,4.7,2.6,7.3,0.139,,3.6,-1.4,2.1,2.7
155,Tim Hardaway\hardati01,PG,29,GSW,52,1487,18.5,0.536,0.383,0.3,1.7,8.5,5.1,40.2,2.6,0.5,15.4,23.8,,3,1,3.9,0.127,,3.7,-2.2,1.5,1.3
155,Tim Hardaway\hardati01,PG,29,MIA,28,1047,19.1,0.548,0.381,0.319,1.5,9.2,5.5,46.4,2.9,0.4,20,23.9,,1.8,1.6,3.4,0.154,,3.3,-0.2,3.1,1.3
156,Derek Harper\harpede01,PG,34,NYK,82,2893,13.9,0.558,0.346,0.219,1.3,6.8,4.1,20.1,2.4,0.1,14.7,19.4,,2.6,3.7,6.3,0.105,,0.8,-0.2,0.7,1.9
157,Ron Harper\harpero01,PG,32,CHI,80,1886,14.4,0.528,0.208,0.277,4.6,8.6,6.6,15.5,2.9,1.3,11.5,14.9,,3,3.3,6.3,0.161,,0.5,2.1,2.6,2.2
158,Lucious Harris\harrilu01,SG,25,DAL,61,1016,15.5,0.553,0.315,0.219,3.9,9.2,6.3,12.9,1.7,0.2,9.6,19.7,,1.8,0.4,2.1,0.101,,0.2,-2.6,-2.4,-0.1
159,Antonio Harvey\harvean01,PF,25,TOT,55,821,8.9,0.392,0.009,0.371,9.8,19.5,14.5,2.9,1.7,4.3,14.4,16.7,,-1.3,1,-0.3,-0.02,,-7.2,0.8,-6.4,-0.9
159,Antonio Harvey\harvean01,PF,25,VAN,18,410,9.7,0.43,0.021,0.453,7.5,19.9,13.4,3.6,1.8,3.9,13.6,14.7,,-0.4,0.6,0.1,0.016,,-6.4,1.9,-4.6,-0.3
159,Antonio Harvey\harvean01,PF,25,LAC,37,411,8.2,0.362,0,0.31,12.1,19.1,15.5,2.1,1.6,4.7,15.1,18.7,,-0.9,0.4,-0.5,-0.055,,-7.9,-0.3,-8.2,-0.6
160,Hersey Hawkins\hawkihe01,SG,29,SEA,82,2823,16.1,0.603,0.406,0.304,3.8,8.4,6.2,12.5,2.7,0.4,13.4,19.4,,5.3,4.2,9.5,0.161,,2.5,0.6,3.1,3.6
161,Alvin Heggs\heggsal01,SF,28,HOU,4,14,20.7,0.633,0,0.6,8.3,7.9,8.1,0,0,0,0,20.3,,0.1,0,0.1,0.196,,-0.5,-7.8,-8.4,0
162,Alan Henderson\hendeal01,PF,23,ATL,79,1416,12.9,0.482,0.007,0.461,13.2,16.7,14.9,5.8,1.7,2.4,14.3,19.3,,0.5,1.6,2,0.069,,-2.9,-0.2,-3.1,-0.4
163,Carl Herrera\herreca01,PF,29,SAS,44,393,4.7,0.407,0.01,0.175,8.9,13.9,11.5,5.9,1.2,1.5,21.7,15.3,,-0.7,0.5,-0.2,-0.02,,-6.3,0.9,-5.4,-0.3
164,Sean Higgins\higgise01,SF,27,PHI,44,916,10.4,0.517,0.399,0.115,2.5,9.3,5.8,10.7,1.4,0.9,12.6,18.9,,0.2,0.1,0.3,0.014,,-1.7,-2.5,-4.2,-0.5
165,Grant Hill*\hillgr01,SF,23,DET,80,3260,20.9,0.537,0.021,0.529,4.9,23.4,14.5,31.4,1.7,1.2,14.9,25.9,,6,5.7,11.7,0.172,,1.9,3.2,5.1,5.8
166,Tyrone Hill\hillty01,PF,27,CLE,44,929,14.6,0.544,0,0.531,13.2,21.9,17.5,6.4,1.9,1.9,17,20.5,,0.6,1.4,1.9,0.101,,-2.7,0.2,-2.5,-0.1
167,Donald Hodge\hodgedo01,C,26,TOT,15,115,5.9,0.375,0,0,7.5,14.1,10.6,4.9,0.4,4.8,7.7,9.4,,0,0.1,0.1,0.026,,-6.3,0.9,-5.4,-0.1
167,Donald Hodge\hodgedo01,C,26,DAL,13,113,5.8,0.375,0,0,7.7,13.2,10.2,5,0.4,4.9,7.7,9.6,,0,0.1,0.1,0.025,,-6.2,1,-5.2,-0.1
167,Donald Hodge\hodgedo01,C,26,CHH,2,2,8,,,,0,62,30.3,0,0,0,,0,,0,0,0,0.076,,-12.3,-3.1,-15.4,0
168,Fred Hoiberg\hoibefr01,SG,23,IND,15,85,14.4,0.594,0.158,0.947,6.1,7.1,6.6,14.3,3.8,0.9,20.6,18.3,,0.1,0.1,0.2,0.138,,0,1,1,0.1
169,Jeff Hornacek\hornaje01,SG,32,UTA,82,2588,19.1,0.619,0.253,0.33,3,6.8,5,21.2,2.2,0.6,11.2,20.1,,7.9,2.4,10.2,0.19,,4.7,-0.3,4.3,4.2
170,Robert Horry\horryro01,SF,25,HOU,71,2634,13.7,0.537,0.53,0.195,4.3,13.2,8.9,16.1,2.3,2.9,16.8,16.3,,1.5,3.4,4.9,0.089,,0.6,2.4,3,3.3
171,Allan Houston\houstal01,SG,24,DET,82,3072,15.7,0.576,0.359,0.291,2.2,9.3,5.9,15.5,1.1,0.4,14.2,25.4,,4.2,3,7.1,0.112,,2,-1.3,0.7,2.1
172,Byron Houston\houstby01,PF,26,SAC,25,276,13.1,0.57,0.047,0.406,13,22.3,17.6,4,2.4,1.9,18.4,14.7,,0.3,0.4,0.7,0.117,,-2.1,0.6,-1.5,0
173,Juwan Howard\howarju01,PF,22,WSB,81,3294,17,0.53,0.009,0.284,6.9,16.5,11.8,18.7,1,0.8,15.2,27,,2.5,3.1,5.6,0.082,,0,0.2,0.2,1.8
174,Lindsey Hunter\hunteli01,PG,25,DET,80,2138,11.2,0.499,0.46,0.191,2.6,8.2,5.5,14.7,2.2,0.7,10.5,17,,1.3,2.6,3.9,0.089,,-0.1,0.3,0.2,1.2
175,Bobby Hurley\hurlebo01,PG,24,SAC,72,1059,6.5,0.411,0.33,0.37,1.3,6.9,4.1,29.5,1.4,0.2,24.3,14.7,,-0.7,0.4,-0.3,-0.013,,-4.4,-2.9,-7.3,-1.4
176,Jaren Jackson\jacksja01,SG,28,HOU,4,33,1.5,0.323,0.625,1.25,0,10.1,5.1,0,1.6,0,0,16.9,,-0.1,0,0,-0.049,,-7.3,-5,-12.3,-0.1
177,Jim Jackson\jacksji01,SG,25,DAL,82,2820,16.6,0.538,0.255,0.32,5.9,9.7,7.6,14.3,0.8,0.5,11.3,24.9,,4.8,0.6,5.4,0.092,,1.5,-2.6,-1.1,0.6
178,Mark Jackson\jacksma01,PG,30,IND,81,2643,15.9,0.568,0.238,0.305,3.2,11,7.3,37.4,2,0.2,22.1,15.8,,4.6,2.6,7.2,0.13,,2.1,-0.1,1.9,2.6
179,Henry James\jameshe01,PF,30,HOU,7,58,9.9,0.573,0.625,0.208,6,5.7,5.9,5.7,0,0,13.2,23.4,,0.1,0,0.1,0.058,,0.1,-6,-5.9,-0.1
180,Avery Johnson\johnsav01,PG,30,SAS,82,3084,16.3,0.534,0.035,0.295,1.4,5.9,3.7,39.1,2,0.5,16.3,17.5,,5.6,3.5,9.1,0.141,,0.6,-1.1,-0.4,1.2
181,Darryl Johnson\johnsda02,PG,30,CLE,11,28,9.7,0.466,0.083,0.167,9.3,0,4.8,6.9,0,0,7.2,25,,0,0,0,0.01,,-3.9,-6.2,-10.1,-0.1
182,Eddie Johnson\johnsed03,SF,36,IND,62,1002,13.1,0.505,0.294,0.181,5.8,13,9.5,12,1.1,0.3,10.6,24.1,,0.8,0.8,1.6,0.077,,-0.2,-2,-2.2,0
183,Ervin Johnson\johnser02,C,28,SEA,81,1519,13.1,0.547,0.009,0.361,10.5,22.6,16.8,4.8,1.3,6.7,19.4,14.9,,0.5,3.4,3.9,0.123,,-3.8,3.9,0.1,0.8
184,Kevin Johnson\johnske02,PG,29,PHO,56,2007,22.8,0.617,0.085,0.591,2.5,10.2,6.4,41.5,2.1,0.5,16.7,22.6,,6.9,1.3,8.2,0.195,,4.7,-1.4,3.3,2.7
185,Larry Johnson\johnsla02,PF,26,CHH,81,3274,19.8,0.563,0.149,0.46,9,16.4,12.7,18,0.9,1,11,22.9,,8.8,1.3,10.1,0.149,,3.6,-0.2,3.4,4.5
186,Magic Johnson*\johnsma02,PF,36,LAL,32,958,21.1,0.612,0.197,0.684,5,17,11.1,34.1,1.4,1,21.2,22.7,,2.6,1.1,3.6,0.181,,2.9,0.3,3.2,1.3
187,Charles Jones\jonesch01,PF,38,HOU,46,297,8.1,0.324,0,0.684,10.9,17.1,14.1,5.3,0.9,5.8,10.8,4.2,,0.2,0.4,0.6,0.09,,-4.3,3.8,-0.5,0.1
188,Eddie Jones\jonesed02,SG,24,LAL,70,2184,17,0.583,0.331,0.269,2.4,9.8,6.2,17,3.1,1.4,11.4,17.8,,4.1,2.7,6.8,0.15,,2.5,1.1,3.6,3.1
189,Popeye Jones\jonespo01,PF,25,DAL,68,2322,13.4,0.486,0.053,0.181,10.8,23.6,16.6,8.8,1.2,0.8,12.1,16.2,,1.7,1.9,3.7,0.076,,-2.1,0.3,-1.8,0.1
190,Michael Jordan*\jordami01,SG,32,CHI,82,3090,29.4,0.582,0.141,0.355,5.6,14.9,10.2,21.2,3.1,1,8.4,33.3,,14.2,6.2,20.4,0.317,,7.2,1.4,8.6,8.3
191,Reggie Jordan\jordare01,PG,28,ATL,24,247,17.1,0.536,0,0.535,10.6,14.5,12.4,19.2,2.6,2.2,17.8,19.4,,0.3,0.3,0.6,0.118,,-0.5,1.2,0.7,0.2
192,Adam Keefe\keefead01,PF,25,UTA,82,1708,13.8,0.574,0.012,0.581,13,19.5,16.3,5.5,1.6,2,16.8,14,,2.3,2.3,4.6,0.13,,-0.1,1.7,1.5,1.5
193,Shawn Kemp\kempsh01,PF,26,SEA,79,2631,22.6,0.631,0.013,0.709,13,26.9,20.3,11.5,1.8,3.8,20.4,26.2,,5.2,6.1,11.2,0.205,,0.7,3.1,3.8,3.9
194,Tim Kempton\kemptti01,PF,32,ATL,3,11,-6.2,,,,0,22.4,10.7,12,0,0,100,4.1,,0,0,0,-0.06,,-10.2,1,-9.1,0
195,Steve Kerr\kerrst01,PG,30,CHI,82,1919,15.2,0.663,0.492,0.174,1.5,5.2,3.3,14.1,1.7,0.1,7.5,12.9,,6,2.3,8.3,0.208,,3.2,-0.9,2.3,2.1
196,Jerome Kersey\kerseje01,SF,33,GSW,76,1620,13.1,0.452,0.034,0.294,10.8,15,12.9,10.9,2.9,2,11.7,17.2,,0.6,1.8,2.4,0.071,,-1.4,1.8,0.4,1
197,Randolph Keys\keysra01,SF,29,MIL,69,816,10.8,0.511,0.341,0.207,6,12.8,9.4,12,2.1,1.3,12.7,14.6,,0.7,0.6,1.2,0.072,,-0.9,-0.1,-1,0.2
198,Jason Kidd*\kiddja01,PG,22,DAL,81,3034,17.8,0.468,0.306,0.256,6.5,13.3,9.6,41.5,2.9,0.6,18.6,24.3,,1.7,2.6,4.3,0.068,,2.1,0.6,2.7,3.5
199,Chris King\kingch01,SF,26,VAN,80,1930,10.8,0.492,0.193,0.232,6,11.5,8.7,9.5,1.9,1.3,13.8,17.7,,-0.5,1.6,1.1,0.028,,-2.9,0.4,-2.5,-0.2
200,Frankie King\kingfr01,PG,23,LAL,6,20,0.7,0.284,0.091,0.273,5.9,5.7,5.8,15,5.2,0,14,32.1,,-0.1,0,-0.1,-0.234,,-10.5,-1.2,-11.7,0
201,Jimmy King\kingji02,SG,22,TOR,62,868,9.9,0.483,0.133,0.302,5.9,9.2,7.6,15.6,1.2,1.1,17.2,17.7,,-0.1,0.1,0,0,,-3.2,-2.4,-5.7,-0.8
202,Stacey King\kingst01,PF,29,MIA,15,156,2,0.481,0,0.222,6.9,10.2,8.6,2.1,2.4,1,31.3,16.8,,-0.4,0.2,-0.2,-0.054,,-7.8,0.9,-6.9,-0.2
203,Joe Kleine\kleinjo01,C,34,PHO,56,663,6.8,0.456,0.041,0.148,6.4,16.5,11.5,9.7,1,0.7,17.1,14.6,,-0.3,0.4,0.1,0.007,,-4.4,-0.7,-5.1,-0.5
204,Jon Koncak\koncajo01,C,32,ORL,67,1288,7.1,0.507,0.051,0.326,5.8,18.5,12.3,5.3,1.1,2.5,17,8.5,,0.3,1.6,2,0.073,,-3.6,1.8,-1.8,0.1
205,Toni Kukoc\kukocto01,SF,27,CHI,81,2103,20.4,0.589,0.274,0.339,6.4,11.5,8.9,21,1.6,1,11.2,21.4,,6.9,3.2,10.1,0.231,,4.2,0.3,4.5,3.5
206,Christian Laettner\laettch01,C,26,TOT,74,2495,17.7,0.563,0.043,0.437,8.6,17.2,12.8,13.7,1.5,2.2,14.7,22.6,,3.9,2.4,6.2,0.12,,0.6,0.5,1.2,2
